tiempo,Ti_CB,Ti_CA,Ti_CI01,Ti_CI03,To,Ti_Ccomb,Ti
09/06/2019 00:20,28.39203465,27.95150043,26.32141606,27.45829521,23.5,27.12494735,26.9055514
09/06/2019 00:30,28.3273342,27.88982687,26.37389636,27.46601975,23.8,27.11895884,26.8005647
09/06/2019 00:40,28.27526847,27.84284494,26.25822326,27.3876297,23.7,27.05170712,26.730189
09/06/2019 00:50,28.19181996,27.76818803,25.71933821,27.04569769,23.5,26.74802308,26.6644281
09/06/2019 01:00,28.15177514,27.7332999,25.47114907,26.75500262,23.7,26.48801996,26.6505837
09/06/2019 01:10,28.12165695,27.70921399,25.60765751,26.75070914,24.1,26.48498952,26.6736577
09/06/2019 01:20,28.10415239,27.69626603,25.69281837,26.80364244,24.3,26.5406398,26.5894376
09/06/2019 01:30,28.04164442,27.64016245,25.54329299,26.72781448,23.9,26.47127389,26.5963598
09/06/2019 01:40,27.97984375,27.58142302,25.69195339,26.81924521,23.8,26.53755602,26.6886558
09/06/2019 01:50,27.98494999,27.58859139,25.86226131,26.8970102,24.3,26.62041056,26.6644281
09/06/2019 02:00,27.94329341,27.55187732,25.75800957,26.84328365,23.9,26.57719266,26.6528911
09/06/2019 02:10,27.84256135,27.45797823,25.41838402,26.61569372,23.6,26.35562718,26.5652099
09/06/2019 02:20,27.75129929,27.37149968,25.33691296,26.51596676,23.5,26.25475332,26.5029101
09/06/2019 02:30,27.676278,27.30102399,25.17112741,26.38922943,23.4,26.13881322,26.4290733
09/06/2019 02:40,27.6106457,27.23949642,25.07160759,26.32819455,23.2,26.04619839,26.430227
09/06/2019 02:50,27.61749049,27.2449076,25.9110033,26.72913094,23.2,26.43516951,26.5006027
09/06/2019 03:00,27.61480305,27.24205044,26.04983218,26.9836554,23.2,26.69078953,26.4544547
09/06/2019 03:10,27.58873857,27.21791868,26.1397827,26.9251994,23.4,26.73215563,26.395616
09/06/2019 03:20,27.52672681,27.16095108,25.71001431,26.68816968,23.3,26.48921526,26.3229329
09/06/2019 03:30,27.44660074,27.08906167,25.22948145,26.4661648,23.4,26.23366537,26.2017944
09/06/2019 03:40,27.37375732,27.02479008,24.94397863,26.10290162,23.5,25.86858991,26.1337261
09/06/2019 03:50,27.32094112,26.97954566,24.82010639,26.05362227,23,25.75384198,26.0818096
09/06/2019 04:00,27.16592564,26.82840485,24.10223495,25.5380332,22.4,25.34256036,26.014895
09/06/2019 04:10,27.1203759,26.7174312,24.19832363,25.59423384,22.2,25.22783544,25.8972176
09/06/2019 04:20,27.05666413,26.6929827,24.17679871,25.565081,22.1,25.30198001,25.8510696
09/06/2019 04:30,27.01845742,26.69080694,24.55591828,25.76783814,22.3,25.57503197,25.7564662
09/06/2019 04:40,26.97105153,26.64021161,24.38239434,25.6242456,22.2,25.41083323,25.6745535
09/06/2019 04:50,26.94578931,26.61536289,24.27550611,25.6094848,22.4,25.38953714,25.6030241
09/06/2019 05:00,26.88894046,26.56182747,24.38815295,25.67011741,21.9,25.44567696,25.5130355
09/06/2019 05:10,26.85970745,26.53532301,24.96813905,25.96239632,22.3,25.74417065,25.5061133
09/06/2019 05:20,26.82471763,26.50442167,24.44362051,25.68213521,22.4,25.48258523,25.438045
09/06/2019 05:30,26.81907971,26.49996389,25.0004474,25.94502723,22.4,25.71535478,25.4011266
09/06/2019 05:40,26.76375853,26.44732461,25.08722227,26.03795456,22,25.7932097,25.38036
09/06/2019 05:50,26.68154313,26.36883792,24.84222917,25.92840771,21.9,25.68481667,25.3169065
09/06/2019 06:00,26.59277277,26.28379598,24.4116443,25.65912978,21.7,25.39184072,25.2719122
09/06/2019 06:10,26.53937161,26.23272125,24.09472673,25.40399561,21.3,25.28877705,25.2499919
09/06/2019 06:20,26.51288387,26.20754366,24.65735677,25.54142559,21.7,25.41821971,25.1657718
09/06/2019 06:30,26.49523997,26.1921769,24.97152975,25.71340198,21.6,25.51806295,25.1011646
09/06/2019 06:40,26.52156452,26.22026858,25.02936394,25.8012081,21.6,25.56444019,25.1242386
09/06/2019 06:50,26.61280431,26.31198692,25.09165768,25.88961197,22.2,25.65160791,25.1057794
09/06/2019 07:00,26.6974034,26.39537457,25.2905943,26.00816077,22.8,25.7775697,25.1300071
09/06/2019 07:10,26.81795587,26.5168334,25.26897654,26.11383205,23.2,25.89225532,25.0596314
09/06/2019 07:20,26.88468726,26.58520872,25.08687657,26.08123392,23.2,25.87125462,25.0907813
09/06/2019 07:30,26.91257035,26.61336811,25.16774494,26.14922404,23.1,25.93235874,25.0723221
09/06/2019 07:40,26.91487229,26.6165165,24.76365538,25.92042594,23.1,25.72122967,25.2015365
09/06/2019 07:50,26.99884929,26.69716233,25.22767424,26.14057894,23.5,25.92729538,25.3192139
09/06/2019 08:00,27.12141554,26.81494992,25.60458148,26.36808044,24,26.14238947,25.4080488
09/06/2019 08:10,27.15022795,26.8428642,25.81888079,26.55556157,24.5,26.33279154,25.4426598
09/06/2019 08:20,27.23567781,26.92563992,26.27556092,26.78684368,25.4,26.55466251,25.5730279
09/06/2019 08:30,27.36464294,27.0478105,26.65838362,26.94325422,26.2,26.69501126,25.5949482
09/06/2019 08:40,27.57953372,27.25302682,26.94070598,27.25341245,27.1,26.98298166,25.7403144
09/06/2019 08:50,27.74117367,27.41058704,27.16920291,27.4743264,27.5,27.19931155,25.8476085
09/06/2019 09:00,27.78353921,27.45576305,27.33390511,27.534427,28.1,27.26550877,25.8464548
