Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/07  11:50:00,30.9,29.369044637010256,28.835049707573665,30.603889918509816,26.62460588661403,26.238308091947965,28.41199494806265 
 05/07  12:00:00,30.6,29.396064381404015,28.869686096962004,30.690698156819047,26.68016517825331,26.293531708347815,28.471316763990968 
 05/07  12:10:00,31.4,29.426074413724967,28.9038817428089,30.76737627284438,26.738124242153917,26.354992429303388,29.154235283003673 
 05/07  12:20:00,32.0,29.491549557057949,28.9795724915365,30.90907905102139,26.800831233424448,26.420640608819079,29.25721524657082 
 05/07  12:30:00,31.8,29.554653746353979,29.05388617923262,31.05184392421979,26.87003532231213,26.493987559035359,29.41549608086631 
 05/07  12:40:00,31.6,29.57811904537803,29.086380815101138,31.099881593738233,26.925586590473956,26.556612317769507,29.784688296910823 
 05/07  12:50:00,32.4,29.634460733389284,29.152603044132105,31.217397059824167,26.991786758626039,26.630309118617189,29.8961708814839 
 05/07  13:00:00,33.1,29.707566719161176,29.234324491389338,31.365884411481067,27.06120968726957,26.704572969286997,29.60900208744531 
 05/07  13:10:00,33.2,29.796970937816917,29.33757830872364,31.538388980747415,27.135290732237438,26.78661806747759,29.77239123998993 
 05/07  13:20:00,33.1,29.877272874237197,29.434886676539514,31.69660030506578,27.21635785816602,26.87737445294684,30.004559074118963 
 05/07  13:30:00,32.6,29.91595100497521,29.485624280009618,31.771717834872005,27.296621814589718,26.96832068316454,29.83451262327135 
 05/07  13:40:00,33.1,29.950632322153106,29.524154684886296,31.836429006855153,27.374981727147906,27.059125842257815,30.93463451715516 
 05/07  13:50:00,34.3,30.018676642933785,29.604337751148088,31.968615830878119,27.45237462272741,27.150097808155743,30.562801414138506 
 05/07  14:00:00,34.5,30.110560947787638,29.716997164397477,32.13366617983929,27.55175216157347,27.26727111117973,30.335640632942697 
 05/07  14:10:00,34.4,30.198420850192709,29.831640186929243,32.2809841642881,27.65618451485493,27.39221588336324,30.553267934019144 
 05/07  14:20:00,34.1,30.227383542488729,29.880530858594058,32.32279632607507,27.746740034494598,27.50334773327976,32.21810402924157 
 05/07  14:30:00,34.5,30.278773998270056,29.95356535000935,32.41186110891683,27.835365549507857,27.613401185318453,32.664494032238767 
 05/07  14:40:00,34.9,30.337196235242517,30.043749258873654,32.50061416392926,27.947179763492238,27.75540358379398,31.262682124689137 
 05/07  14:50:00,34.3,30.368790703998465,30.107578582431324,32.5452507582832,28.047123792740029,27.8878397351801,30.912518013801234 
 05/07  15:00:00,34.1,30.418896699238343,30.201205197084329,32.610672794280137,28.16693184686219,28.04125694561355,32.62611796816405 
 05/07  15:10:00,34.2,30.456064922984667,30.276762563328828,32.65589414249661,28.275020882618017,28.17207633040197,31.877323419569519 
 05/07  15:20:00,34.5,30.523315382497537,30.393141548737526,32.758166095674429,28.396232403660734,28.31969963215011,32.69405627519323 
 05/07  15:30:00,34.5,30.582042309010679,30.49802779909136,32.83081439460106,28.501467165745888,28.447577685567425,33.11561801335699 
 05/07  15:40:00,34.9,30.633654216718719,30.607495622647286,32.89586496446077,28.6201362713975,28.582199430898549,31.811684737249537 
 05/07  15:50:00,34.2,30.6705750151624,30.694731466468228,32.93739589622081,28.713613754527957,28.694374150722614,32.36001111075474 
 05/07  16:00:00,35.1,30.757868212517175,30.857175561934868,33.05288693203681,28.83295903737051,28.851291909128073,32.38229983580633 
