Date/Time,JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 06/05  06:30:00,-4.468133441,99.99999807,-4.468133441,99.99999807
 06/05  06:40:00,-4.594782824,99.99999969,-4.594782824,99.99999969
 06/05  06:50:00,-4.631254988,100,-4.631254988,100
 06/05  07:00:00,-4.637025864,100,-4.637025864,100
 06/05  07:10:00,-4.67516307,100,-4.67516307,100
 06/05  07:20:00,-4.639714239,100,-4.639714239,100
 06/05  07:30:00,-4.631180076,100,-4.631180076,100
 06/05  07:40:00,-4.592028694,99.99999968,-4.592028694,99.99999968
 06/05  07:50:00,-4.544483342,99.99999935,-4.544483342,99.99999935
 06/05  08:00:00,-4.498949459,99.99999875,-4.498949459,99.99999875
 06/05  08:10:00,-4.477073719,99.9999983,-4.477073719,99.9999983
 06/05  08:20:00,-4.490750979,99.9999986,-4.490750979,99.9999986
 06/05  08:30:00,-4.470897703,99.99999815,-4.470897703,99.99999815
 06/05  08:40:00,-4.42866509,99.99999669,-4.42866509,99.99999669
 06/05  08:50:00,-4.383402863,99.99999393,-4.383402863,99.99999393
 06/05  09:00:00,-4.377076132,99.9999934,-4.377076132,99.9999934
 06/05  09:10:00,-1.480144497,49.82280147,-1.480144497,49.82280147
 06/05  09:20:00,-1.381557109,44.531416,-1.381557109,44.531416
 06/05  09:30:00,-1.274698982,38.97425553,-1.274698982,38.97425553
 06/05  09:40:00,-1.201453169,35.3184967,-1.201453169,35.3184967
 06/05  09:50:00,-1.159325353,33.28418841,-1.159325353,33.28418841
 06/05  10:00:00,-1.126238633,31.72497066,-1.126238633,31.72497066
 06/05  10:10:00,-1.111424193,31.03836851,-1.111424193,31.03836851
 06/05  10:20:00,-1.109297308,30.94039432,-1.109297308,30.94039432
 06/05  10:30:00,-1.099403154,30.4866295,-1.099403154,30.4866295
 06/05  10:40:00,-1.083765601,29.77627823,-1.083765601,29.77627823
 06/05  10:50:00,-1.045515728,28.07488005,-1.045515728,28.07488005
 06/05  11:00:00,-0.949752512,24.05247479,-0.949752512,24.05247479
 06/05  11:10:00,-0.842704373,19.98409594,-0.842704373,19.98409594
 06/05  11:20:00,-0.818151348,19.1175055,-0.818151348,19.1175055
 06/05  11:30:00,-0.747707606,16.77262848,-0.747707606,16.77262848
 06/05  11:40:00,-0.668260021,14.38314094,-0.668260021,14.38314094
 06/05  11:50:00,-0.588119197,12.24951969,-0.588119197,12.24951969
 06/05  12:00:00,-0.483194326,9.877077929,-0.483194326,9.877077929
 06/05  12:10:00,-0.446636586,9.162246725,-0.446636586,9.162246725
 06/05  12:20:00,-0.418648628,8.65383548,-0.418648628,8.65383548
 06/05  12:30:00,-0.36435529,7.763244713,-0.36435529,7.763244713
 06/05  12:40:00,-0.309645562,6.992855266,-0.309645562,6.992855266
 06/05  12:50:00,-0.291207738,6.761808216,-0.291207738,6.761808216
 06/05  13:00:00,-0.286353623,6.70336937,-0.286353623,6.70336937
 06/05  13:10:00,-0.291899007,6.770211364,-0.291899007,6.770211364
 06/05  13:20:00,-0.199255554,5.823300173,-0.199255554,5.823300173
 06/05  13:30:00,-0.092070172,5.175542919,-0.092070172,5.175542919
 06/05  13:40:00,-0.065027074,5.087549075,-0.065027074,5.087549075
 06/05  13:50:00,0.028999113,5.017408713,0.028999113,5.017408713
 06/05  14:00:00,0.078174526,5.126540679,0.078174526,5.126540679
 06/05  14:10:00,0.09662347,5.193342464,0.09662347,5.193342464
 06/05  14:20:00,0.066055255,5.090340085,0.066055255,5.090340085
 06/05  14:30:00,0.059891383,5.074264175,0.059891383,5.074264175
 06/05  14:40:00,0.024443378,5.01236844,0.024443378,5.01236844
 06/05  14:50:00,0.167090782,5.578657494,0.167090782,5.578657494
 06/05  15:00:00,0.265521166,6.463853283,0.265521166,6.463853283
 06/05  15:10:00,0.3376907,7.371891829,0.3376907,7.371891829
 06/05  15:20:00,0.426511244,8.793266247,0.426511244,8.793266247
 06/05  15:30:00,0.341954821,7.43244504,0.341954821,7.43244504
 06/05  15:40:00,0.204389344,5.866347895,0.204389344,5.866347895
 06/05  15:50:00,0.196482024,5.800502245,0.196482024,5.800502245
 06/05  16:00:00,0.245903909,6.255016562,0.245903909,6.255016562
 06/05  16:10:00,0.296457101,6.82612546,0.296457101,6.82612546
 06/05  16:20:00,0.293335536,6.787738527,0.293335536,6.787738527
