Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/15  04:10:00,22.9,30.68517680809403,30.851581039051259,30.17324423239127,29.217619557033005,29.298166406545719,26.419201877230088 
 05/15  04:20:00,23.2,30.65758559377016,30.80182855586295,30.138610596736514,29.144297555001616,29.21461674366313,26.552173039647717 
 05/15  04:30:00,22.8,30.607004372113197,30.730508783172817,30.063151452200484,29.07178230703186,29.131932286919765,26.45986311510642 
 05/15  04:40:00,22.5,30.53601995405223,30.638583125420874,29.937134869978825,29.00011364043987,29.050163215619646,26.411882010658407 
 05/15  04:50:00,22.3,30.478320256564964,30.56612439486971,29.79701568546904,28.932194102045974,28.972389953994154,27.210691415061875 
 05/15  05:00:00,22.6,30.44993371779771,30.520819152331158,29.768191788332446,28.865587183290434,28.896265422687045,26.3899239537012 
 05/15  05:10:00,22.7,30.423855701225706,30.475521471761398,29.75759475971077,28.795976378685724,28.817115676347787,26.035944621680259 
 05/15  05:20:00,22.7,30.362197336378654,30.378284839546287,29.695113276210088,28.713599873418116,28.72442145307845,26.23518328508174 
 05/15  05:30:00,22.1,30.297803099870586,30.299022001966315,29.546674771409973,28.645024618132959,28.646297534949196,26.730149153433197 
 05/15  05:40:00,21.9,30.243304884039277,30.222345714347619,29.480822874209509,28.572589649657947,28.564402667501274,25.500025378127384 
 05/15  05:50:00,22.4,30.211434371586095,30.169750195566107,29.43847441817658,28.49895447742396,28.48104575795306,26.21445313901441 
 05/15  06:00:00,22.3,30.155241736932429,30.08459097166299,29.353010575326257,28.423310531269178,28.39595591881949,26.26939136116898 
 05/15  06:10:00,21.8,30.09224084472484,30.00046824166909,29.258691179102649,28.347273267435509,28.310231078959548,25.414883129677109 
 05/15  06:20:00,22.2,30.03927779431289,29.92134408779251,29.194453938684189,28.275434612640493,28.229343342734756,25.631253729175538 
 05/15  06:30:00,22.5,30.012540499749425,29.87523561468479,29.156733492573268,28.201202704554455,28.14575182491859,26.20545452623222 
 05/15  06:40:00,22.0,29.947295733831923,29.778590089568668,29.07247412306865,28.129854016826138,28.06568596966162,25.520037025952548 
 05/15  06:50:00,21.5,29.86837286713703,29.67436215435505,28.943022527595738,28.056074163146059,27.982710325678516,25.50652307231751 
 05/15  07:00:00,21.7,29.868491485626117,29.66038118012232,28.982431244591795,27.98490283066575,27.902518236941078,24.7852021771007 
 05/15  07:10:00,22.0,29.866797196776589,29.637630821136506,29.036819760483377,27.915684727165595,27.82481680984341,24.961981012112447 
 05/15  07:20:00,22.3,29.844071497280458,29.589657183928414,29.055047106064284,27.841124150050179,27.741126927027517,25.246046344073464 
 05/15  07:30:00,22.7,29.824912852144477,29.54763021518555,29.07251765229045,27.773095933875788,27.66435933607932,25.365638716579068 
 05/15  07:40:00,23.3,29.831427621941598,29.543318405965996,29.11247306635947,27.715800988744826,27.598692610972138,25.75688089043439 
 05/15  07:50:00,23.5,29.82819970979617,29.521691840204779,29.15247999997859,27.65485302973467,27.528509795644405,25.919626268351768 
 05/15  08:00:00,23.5,29.826355839518578,29.503513054424177,29.182671538560478,27.59870537396712,27.462656006309268,25.586293464299545 
 05/15  08:10:00,24.3,29.835683540947615,29.486869804819194,29.255212766169764,27.54524130184125,27.399379621137095,25.911521521336064 
