tiempo,Ti_ex,To,Ti_CB
2019-06-12 07:00:00,22.475343399999996,,
2019-06-12 08:00:00,22.475343399999996,,
2019-06-12 09:00:00,22.475343399999996,,
2019-06-12 10:00:00,22.475343399999996,,
2019-06-12 11:00:00,22.475343399999996,,
2019-06-12 12:00:00,22.475343399999996,,
2019-06-12 13:00:00,22.475343399999996,,
2019-06-12 14:00:00,22.475343399999996,,
2019-06-12 15:00:00,22.475343399999996,,
2019-06-12 16:00:00,22.475343399999996,,
2019-06-12 17:00:00,22.475343399999996,,
2019-06-12 18:00:00,22.475343399999996,,
2019-06-12 19:00:00,22.475343399999996,,
2019-06-12 20:00:00,22.475343399999996,,
2019-06-12 21:00:00,22.475343399999996,,
2019-06-12 22:00:00,22.475343399999996,,
2019-06-12 23:00:00,22.475343399999996,,
