Date/Time,JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/11  22:40:00,-0.351752892756888,7.57451170321518,-0.351752892756888,7.57451170321518 
 05/11  22:50:00,-0.3018396712519617,6.893284006133342,-0.3018396712519617,6.893284006133342 
 05/11  23:00:00,-0.3493208028433381,7.53886687735978,-0.3493208028433381,7.53886687735978 
 05/11  23:10:00,-0.32055447204849465,7.136329462134398,-0.32055447204849465,7.136329462134398 
 05/11  23:20:00,-0.21193470468339113,5.931618579417687,-0.21193470468339113,5.931618579417687 
 05/11  23:30:00,-0.1397933797846029,5.404884304506069,-0.1397933797846029,5.404884304506069 
 05/11  23:40:00,-0.23174989648728898,6.114383436185051,-0.23174989648728898,6.114383436185051 
 05/11  23:50:00,-0.3885991046376169,8.145356870237308,-0.3885991046376169,8.145356870237308 
 05/11  24:00:00,-0.48118309513605669,9.836254039997627,-0.48118309513605669,9.836254039997627 
 05/12  00:10:00,-0.5540575544038523,11.427073019660313,-0.5540575544038523,11.427073019660313 
 05/12  00:20:00,-0.8350832520568806,19.712409313308855,-0.8350832520568806,19.712409313308855 
 05/12  00:30:00,-0.9836733448919911,25.43728000243547,-0.9836733448919911,25.43728000243547 
 05/12  00:40:00,-1.1183744125990368,31.359582621494086,-1.1183744125990368,31.359582621494086 
 05/12  00:50:00,-1.0921484843441698,30.156032832777414,-1.0921484843441698,30.156032832777414 
 05/12  01:00:00,-1.017378684289753,26.857093202610018,-1.017378684289753,26.857093202610018 
 05/12  01:10:00,-0.9443268680525029,23.835154815274849,-0.9443268680525029,23.835154815274849 
 05/12  01:20:00,-0.8163210254064977,19.05391820312383,-0.8163210254064977,19.05391820312383 
 05/12  01:30:00,-0.9371277508011676,23.548598607384365,-0.9371277508011676,23.548598607384365 
 05/12  01:40:00,-1.0922548912507702,30.160868778877146,-1.0922548912507702,30.160868778877146 
 05/12  01:50:00,-1.133291898231438,32.05440645868677,-1.133291898231438,32.05440645868677 
 05/12  02:00:00,-1.2408912788269476,37.2692479501503,-1.2408912788269476,37.2692479501503 
 05/12  02:10:00,-1.395156928369778,45.253856223700299,-1.395156928369778,45.253856223700299 
 05/12  02:20:00,-1.4413879380749773,47.72916747242449,-1.4413879380749773,47.72916747242449 
 05/12  02:30:00,-1.457767300020808,48.61225754787495,-1.457767300020808,48.61225754787495 
 05/12  02:40:00,-1.4361711388434602,47.4485083623937,-1.4361711388434602,47.4485083623937 
 05/12  02:50:00,-1.4295770929446743,47.09420393695753,-1.4295770929446743,47.09420393695753 
 05/12  03:00:00,-1.4289602463048983,47.06108663665057,-1.4289602463048983,47.06108663665057 
 05/12  03:10:00,-1.4506562952149378,48.22853004816257,-1.4506562952149378,48.22853004816257 
 05/12  03:20:00,-1.507555102191323,51.31070067015274,-1.507555102191323,51.31070067015274 
 05/12  03:30:00,-1.6639376753441582,59.8127067741035,-1.6639376753441582,59.8127067741035 
 05/12  03:40:00,-1.7121060580026977,62.39878095364852,-1.7121060580026977,62.39878095364852 
 05/12  03:50:00,-1.662601016909578,59.74055485619611,-1.662601016909578,59.74055485619611 
 05/12  04:00:00,-1.6946896940191359,61.467162718027768,-1.6946896940191359,61.467162718027768 
 05/12  04:10:00,-1.7339667152061596,63.56162479463101,-1.7339667152061596,63.56162479463101 
 05/12  04:20:00,-1.7384130036696413,63.79716775400295,-1.7384130036696413,63.79716775400295 
 05/12  04:30:00,-1.7131038644732247,62.452021753360188,-1.7131038644732247,62.452021753360188 
 05/12  04:40:00,-1.7041778796508296,61.975227714246859,-1.7041778796508296,61.975227714246859 
 05/12  04:50:00,-1.8614040333047826,70.14466730904441,-1.8614040333047826,70.14466730904441 
 05/12  05:00:00,-1.9446949846755615,74.203004225464,-1.9446949846755615,74.203004225464 
 05/12  05:10:00,-2.1294138610418877,82.24927615297502,-2.1294138610418877,82.24927615297502 
 05/12  05:20:00,-2.2333488683414015,86.08670460346774,-2.2333488683414015,86.08670460346774 
 05/12  05:30:00,-2.3635003422436458,90.12152342717656,-2.3635003422436458,90.12152342717656 
 05/12  05:40:00,-2.4806690838590055,93.01853499292402,-2.4806690838590055,93.01853499292402 
 05/12  05:50:00,-2.521397944845456,93.86872722925655,-2.521397944845456,93.86872722925655 
 05/12  06:00:00,-2.4246551429391105,91.71881165808765,-2.4246551429391105,91.71881165808765 
 05/12  06:10:00,-2.472654348932267,92.84193829186214,-2.472654348932267,92.84193829186214 
 05/12  06:20:00,-2.3943705710201925,90.95140309074665,-2.3943705710201925,90.95140309074665 
 05/12  06:30:00,-2.487191390797584,93.15997109591237,-2.487191390797584,93.15997109591237 
